name,count,aliases,has fusion genres,influenced genres,subgenres,influenced by,subgenre of,fusion of
mashcore,353,"",,,,"hardcore techno","breakcore",
chillsynth,349,"",,,,"chillwave, synthwave","electronic",
political hip hop,342,"political hip-hop, political hiphop, political rap",,,,,"hip hop",
bubblegum bass,338,"pc music",,"hyperpop",,"pop","edm",
guaguancó,337,"guaguanco",,"rumba flamenca, tumbélé",,,"rumba cubana",
soukous,337,"",,"afro-zouk, makossa, muziki wa dansi, sungura, tumbélé, ziglibithy","kwassa kwassa",,,
liquid funk,333,"liquid dnb, liquid drum and bass, liquid drum & bass, liquid drum 'n' bass, liquid drum'n'bass",,,"sambass","atmospheric drum and bass, jazzstep","drum and bass",
milonga,331,"",,"tango",,,,
ghetto house,330,"",,"baltimore club, footwork, ghettotech","juke",,"house",
hardbass,327,"hard bass, хардбас, хардбасс",,,,,"hard house",
melodic dubstep,324,"",,"colour bass, future riddim, heaven trap",,,"dubstep",
yé-yé,324,"ye-ye, yéyé",,,,"beat music, rock and roll","pop",
2-step,323,"2 step, 2 step garage, 2-step garage, two step, two step garage",,"dubstyle, future garage, grime",,,"uk garage",
cowpunk,322,"country punk",,,,"country, rockabilly","punk",
chopped and screwed,321,"screwed and chopped",,"witch house",,,"hip hop",
broken transmission,321,"signalwave",,,,,"vaporwave",
levenslied,320,"",,,,"schlager","pop",
american primitive guitar,318,"american primitivism",,"free folk",,,"contemporary folk",
chicago soul,316,"",,,,,"soul",
hardvapour,314,"hardvapor",,,,"hardcore techno, idm, techno","vaporwave",
miami bass,310,"",,"baltimore club, florida breaks, funk carioca, ghettotech, twerk","techno bass","electro","hip hop",
p-funk,309,"",,"g-funk",,,"funk",
zeuhl,309,"",,,,"jazz, modern classical, progressive rock","avant-prog",
pagan black metal,307,"",,,,"folk","black metal",
rebetiko,307,"rebetika, rembetika, rembetiko, ρεμπέτικο",,,,,,
tape music,306,"",,,,,"experimental",
mariachi,304,"",,,,,"regional mexicano",
electric texas blues,304,"",,,,"jazz","electric blues, texas blues",
philly soul,298,"philadelphia soul",,"disco",,"pop soul","soul",
riot grrrl,296,"riot girl",,,,"grunge, noise rock, post-hardcore","punk rock",
filmi,291,"",,,,,,
disco polo,291,"muzyka chodnikowa, muzyka podwórkowa",,,,,,"dance-pop, folk"
industrial hardcore,286,"",,"rawstyle, uptempo hardcore",,"gabber, industrial, power noise","hardcore techno",
enka,286,"演歌",,,,"ryūkōka",,
nederbeat,281,"",,,,,"beat music",
country soul,281,"",,,,,,"country, soul"
neue deutsche härte,280,"",,,,"edm, industrial metal","alternative metal",
southern metal,275,"",,,,"blues, sludge metal, stoner metal","metal",
tribal ambient,272,"ethnic ambient, ethno ambient",,,,"folk","ambient",
brill building,267,"brill building pop",,,,,"pop",
pachanga,267,"",,,,"conga, cumbia, merengue, rumba cubana",,
schranz,266,"",,,,,"techno",
extratone,263,"",,,,,"speedcore",
hypnagogic pop,263,"",,"utopian virtual",,"neo-psychedelia, new age, synth-pop","pop",
doomcore,263,"",,,,,"hardcore techno",
avant-folk,259,"avant-garde folk",,,,"avant-garde","contemporary folk",
breakbeat hardcore,256,"",,"fidget house, florida breaks, hard house, uk hardcore","darkcore, hardcore breaks",,"breakbeat",
deconstructed club,255,"post-club",,"epic collage",,"post-industrial","edm",
psycore,255,"",,,,"dark ambient, glitch","dark psytrance",
easycore,251,"",,,,,"pop punk",
southern gospel,248,"",,,,,"gospel",
bluegrass gospel,246,"gospel bluegrass",,,,"country gospel","bluegrass",
midwest emo,246,"",,"math pop",,"indie rock, post-hardcore","emo",
sertanejo,244,"",,"pagode romântico","sertanejo raiz, sertanejo romântico, sertanejo universitário",,,
chamber folk,244,"",,,,,"contemporary folk",
thrashcore,238,"fastcore",,"grindcore",,,"hardcore punk",
terrorcore,237,"",,,,"gabber","hardcore techno",
post-punk revival,233,"",,"yakousei",,"indie rock, new wave","post-punk",
moombahton,231,"",,,,"dutch house, reggaeton","edm",
glitch pop,230,"",,,,"glitch, idm, pop","indietronica",
swamp rock,228,"",,,,"cajun, new orleans blues, pop, zydeco","rock",
celtic punk,226,"",,,,"celtic","folk punk",
traditional doom metal,226,"",,,"epic doom metal","blues rock, heavy metal, psychedelic rock","doom metal",
funkot,219,"",,"breakbeat kota",,"eurodance, koplo, trance","edm",
afrobeats,217,"",,"afroswing",,,,
tex-mex,216,"",,,,"tejano","roots rock",
acousmatic,216,"",,,,,"electroacoustic",
liedermacher,213,"",,,,,"singer-songwriter",
hyphy,212,"",,"jerk rap",,,"hip hop",
celtic new age,208,"",,,,"celtic","new age",
free tekno,207,"freetekno",,"modern hardtek",,,"techno",
digital fusion,206,"",,,,"bit music, jazz","electronic",
spacesynth,205,"",,"doskpop",,"italo-disco, space disco, synth-pop","edm",
skweee,205,"",,,,"synth funk, techno","electro",
kawaii future bass,203,"",,"future core",,"chiptune","future bass",
space disco,201,"",,"spacesynth",,"space rock","electro-disco",
descarga,201,"",,,,,,
jump up,201,"jump-up",,"drumstep",,,"drum and bass",
bitpop,200,"",,,,,,"bit music, pop"
soul blues,194,"",,,,"gospel, jump blues, soul","blues",
visual kei,192,"ヴィジュアル系",,,,"glam rock, gothic rock, heavy metal","rock",
makina,192,"mákina",,,,"ebm, new beat","techno",
norteño,191,"nortena, norteña, norteno",,"nortec, tejano","cumbia norteña mexicana, duranguense, movimiento alterado, sierreño",,"regional mexicano",
comfy synth,188,"",,,,"new age","dungeon synth",
ambient americana,183,"",,,,"americana","ambient",
hexd,181,"",,,,"cloud rap, edm, trap, vaporwave","electronic",
technical thrash metal,179,"",,,,"progressive rock","thrash metal",
gothic country,178,"",,,,,"alternative country",
shibuya-kei,177,"渋谷系",,"akishibu-kei","picopop",,"pop",
freakbeat,177,"",,,,"beat music, british rhythm & blues, pop rock, psychedelic","rock",
british rhythm & blues,177,"",,"freakbeat, mod",,"rock","r&b",
new orleans r&b,175,"new orleans rhythm and blues, new orleans r'n'b",,"ska, swamp pop",,,"r&b",
epic doom metal,174,"epic doom",,,,"heavy metal","traditional doom metal",
guaracha,173,"",,"rumba flamenca",,"jácara",,
séga,173,"","seggae","maloya, santé engagé",,,,
canterbury scene,173,"",,,,"jazz fusion, jazz rock","psychedelic rock",
post-minimalism,167,"post minimalism, postminimalism",,,,"folk, jazz, minimalism","modern classical",
nintendocore,167,"",,,,"chiptune","post-hardcore",
neoclassical metal,166,"neo-classical metal",,,,"heavy metal, western classical","metal",
sea shanty,166,"",,,,,"folk",
qawwali,165,"",,,,,,
suomisaundi,165,"",,,,,"psytrance",
kabarett,165,"",,,,,,
zolo,164,"",,,,"new wave, post-punk, progressive rock","rock",
emoviolence,164,"emo powerviolence, emo violence",,,,"powerviolence","screamo",
jersey club,160,"",,"jersey drill, jungle dutch",,"baltimore club, breakbeat","edm",
industrial hip hop,160,"industrial hip-hop, industrial hiphop, industrial rap",,,,"industrial","experimental hip hop",
prank calls,159,"",,,,,"comedy",
electronicore,159,"synthcore, trancecore",,,,,,"edm, metalcore"
space age pop,159,"",,,,,"easy listening",
bubblegum dance,157,"",,,,"bubblegum pop","eurodance",
surf punk,157,"",,,,"surf rock","punk rock",
slow waltz,157,"",,,,,"waltz",
cyber metal,155,"cyber-metal",,,,"aggrotech, ebm","industrial metal",
progressive breaks,154,"",,,,"progressive house","breakbeat",
big room house,154,"big room, bigroom, bigroom house, festival house",,"big room trance, jungle terror",,,"house","electro house, progressive house"
tejano,153,"",,"tex-mex",,"norteño, polka, waltz","regional mexicano",
praise & worship,152,"contemporary worship, praise and worship",,,,,"contemporary christian",
uk drill,150,"",,,,"grime","drill",
neurohop,149,"",,,,"neurofunk","glitch hop",
midtempo bass,149,"",,,,"electro house, post-industrial, tech house","edm",
canzone napoletana,147,"canzona napulitana, canzone napoletana, neapolitan song","canzone neomelodica",,,,,
drill and bass,144,"drill & bass, drill 'n' bass, drill'n'bass",,,,,"drum and bass, idm",
atmospheric sludge metal,143,"atmospheric sludge",,,,,"sludge metal",
go-go,143,"gogo",,,,,"funk",
abstract hip hop,143,"abstract hip-hop, abstract hiphop, abstract rap",,,,,"hip hop",
balearic beat,142,"balearic house, ibiza house",,"balearic trance",,,"house",
hip hop soul,141,"hip-hop soul, hiphop soul",,,,"hip hop, new jack swing","contemporary r&b",
country boogie,140,"",,,,"boogie-woogie","traditional country",
battle rap,139,"",,,,,"hip hop",
hi-tech,139,"hi-tech psytrance",,,,"full-on","dark psytrance",
gorenoise,138,"",,,,"noise","goregrind",
ethio-jazz,137,"ethio jazz, ethiojazz",,,,"folk","jazz",
axé,137,"",,"pagode romântico, rasteirinha",,,,"calypso, forró, frevo, maracatu, reggae"
gamelan,136,"",,"campursari, gambang kromong, jaipongan, kliningan, kuda lumping","balinese gamelan, gamelan degung, javanese gamelan, malay gamelan",,"southeast asian classical",
gregorian chant,136,"",,,,,"plainchant",
compas,136,"compas direct, konpa, konpa dirèk",,"tumbélé, zouk",,"jazz, mambo, méringue",,
slacker rock,132,"",,,,,"indie rock",
dream trance,131,"",,"melodic trance",,"eurodance, progressive house","trance",
c86,131,"",,,,"jangle pop, post-punk","indie pop",
skullstep,131,"",,,,,"darkstep",
baltimore club,130,"bmore, bmore club, bmore house",,"bérite club, jersey club, philly club",,"breakbeat, ghetto house, miami bass","edm",
nature sounds,129,"nature recordings",,,,,"field recording",
black noise,129,"",,,,"black metal","noise",
kwaito,126,"",,"afro house, amapiano, gqom, township jive",,"disco, hip hop","house",
ambient noise wall,126,"",,,,"ambient","harsh noise wall",
raggacore,124,"",,,,"dancehall, ragga, ragga jungle","breakcore",
outsider house,124,"",,,"lo-fi house","deep house","house",
piedmont blues,120,"",,,,,"country blues",
christian hip hop,119,"christian hip-hop, christian hiphop, christian rap, gospel hip hop, gospel rap, holy hip hop",,,,,"hip hop",
dub poetry,119,"",,,,"dub, reggae","poetry",
urban cowboy,119,"",,,,"disco, pop","country",
hiplife,118,"",,,,"highlife","hip hop",
glam punk,117,"",,,,,,"glam rock, proto-punk"
gypsy punk,117,"",,,,"folk, klezmer","punk rock",
keroncong,115,"keroncong, kroncong, krontjong",,,,,,
neoclassical dark wave,115,"neo-classical dark wave, neo-classical darkwave, neoclassical darkwave",,"martial industrial",,"western classical","dark wave",
blackened crust,115,"",,,,"black metal","crust punk",
kuduro,114,"kuduru",,"bérite club, dennery segment","batida","house, kilapanga, semba, techno","edm",
march,113,"",,"dobrado, ragtime","circus march",,"western classical",
chicago house,113,"",,,,"funk, italo-disco, synth-pop","house",
idol kayō,112,"idol kayo",,"j-pop",,"pop, pop rock, vocal jazz","kayōkyoku",
free folk,112,"",,,,"american primitive guitar, drone, free improvisation","psychedelic folk",
champeta,112,"",,"tropicanibalismo",,,,
bardcore,110,"tavernwave",,,,"medieval","pop",
cantata,110,"",,,,,"western classical",
son montuno,109,"",,,,,"son cubano",
lecture,109,"",,,,,"spoken word",
slam death metal,108,"",,,,,"brutal death metal",
ragga jungle,107,"",,"raggacore",,"dub, ragga","jungle",
paisley underground,107,"",,,,"jangle pop, new wave, power pop, psychedelic pop, psychedelic rock","neo-psychedelia",
batucada,106,"",,,,,,
guajira,105,"",,,,"punto",,
luk thung,104,"",,"mor lam sing, phleng phuea chiwit",,,,
asmr,104,"",,,,,,
nederpop,103,"",,,,,"pop",
hybrid trap,102,"",,,,"brostep","trap edm",
neocrust,102,"",,,,"black metal, post-metal, screamo, sludge metal","crust punk",
samba-jazz,102,"",,,,,,"jazz, samba"
winter synth,101,"",,,,"dark ambient, drone","dungeon synth",
stride,100,"",,,,"ragtime","jazz",
swamp blues,100,"",,,,"cajun, zydeco","electric blues",
mbalax,100,"",,,,,,
festival progressive house,100,"",,"heaven trap",,"melodic trance","house",
boogaloo,99,"",,,,,"latin","jazz, r&b, son cubano"
plena,99,"",,,,,,
lo-fi house,99,"lofi house",,,,"deep house","outsider house",
electrotango,97,"tango electrónico",,,,,,"electronic, nuevo tango"
math pop,96,"",,,,"indie pop, indie rock, midwest emo","math rock",
korean ballad,96,"",,,"oriental ballad","blues, soul, trot","pop",
full-on,95,"full-on psytrance",,"hi-tech",,,"psytrance",
barbershop,95,"barbershop music",,,,,,
timba,95,"",,,,"funk, r&b, son cubano","salsa",
corrido,94,"",,,"narcocorrido",,"regional mexicano",
hands up,94,"",,"euphoric hardstyle",,"eurodance, euro-trance","edm",
laiko,91,"laika, laïka, laiki, laïki, laïko, laïkó, λαϊκό",,,"modern laiko, skiladiko",,,
neoclassical new age,91,"",,,,"baroque, western classical","new age",
deathstep,90,"",,"minatory",,"metal","brostep",
anatolian rock,90,"anadolu rock",,"özgün müzik",,,"rock",
mincecore,89,"",,,,,"grindcore",
britcore,89,"",,,,,"hardcore hip hop",
punk rap,89,"",,,,"punk","hip hop",
afro house,89,"",,"organic house",,"deep house, kwaito","house",
min'yō,89,"minyo",,,,,,
maloya,88,"",,,,"séga",,
kizomba,87,"",,"batidão romântico","tarraxinha","semba, zouk",,
bro-country,86,"",,,,"hip hop, r&b","country pop",
copla,85,"",,"flamenco pop",,"cuplé, flamenco",,
spirituals,85,"",,"blues, gospel, traditional black gospel",,,,
dansband,84,"dansbandsmusik",,"dansktop",,"schlager, swing","pop",
electro-disco,84,"",,"synthwave","hi-nrg, italo-disco, space disco","electronic","disco",
c-pop,83,"",,,"cantopop, mandopop, zhongguo feng",,"pop",
gqom,83,"",,"amapiano, bérite club",,"kwaito","house",
artcore,82,"",,,,"drum and bass, western classical","edm",
morna,82,"",,"coladeira",,,,
dubwise,82,"",,,,"dub, reggae","drum and bass",
choro,81,"","samba-choro","valsa brasileira",,,,
italo house,80,"",,,,"italo-disco","house",
country rap,79,"country hip hop, country hip-hop, country hiphop, hick hop, hick-hop",,,,,,"country, hip hop"
sound poetry,79,"",,,,,"poetry",
old school hip hop,79,"disco rap, old school hip-hop, old school hiphop, old-school hip-hop, old-school hiphop, oldschool hip-hop, oldschool hiphop, old school rap, old-school rap",,,,"disco","hip hop",
new orleans blues,79,"",,"swamp rock",,"jazz","blues",
uptempo hardcore,79,"",,,,"frenchcore, gabber, industrial hardcore, rawstyle","hardcore techno",
porn groove,79,"",,,,,"funk",
splittercore,78,"",,,,"noise","speedcore",
porro,77,"",,,,"cumbia",,
british folk rock,76,"",,,,,"folk rock",
pagan folk,76,"",,,,,"folk",
group sounds,76,"グループ・サウンズ",,,,"eleki","beat music",
minimal drum and bass,76,"minimal dnb, minimal drum & bass, minimal drum 'n' bass",,,,,"drum and bass",
raga rock,75,"",,,,,"psychedelic rock",
dembow,74,"",,,,"dancehall, hip hop",,
desert blues,74,"tishoumaren",,,,,,"blues rock, folk"
regional mexicano,74,"",,"yu-mex","banda sinaloense, canto cardenche, chilena, corrido, mariachi, norteño, ranchera, son calentano, son huasteco, son istmeño, son jarocho, tejano, trova yucateca",,,
2 tone,74,"2-tone, two tone, two-tone",,"third wave ska",,,"ska",
deep funk,73,"",,,,,"funk",
funk carioca,72,"baile funk, favela funk","brega funk","funknejo","arrocha funk, funk mandelão, funk melody, funk ostentação, funk proibidão, rasteirinha","electro, hip hop, miami bass",,
close harmony,72,"",,,,,"traditional country",
horror synth,72,"",,"darksynth",,,"electronic",
nueva trova,72,"",,,,"nueva canción","trova",
trova,72,"",,,"nueva trova",,,
sound effects,69,"",,,"binaural beats",,,
new rave,69,"",,,,"dance-punk, indie rock","alternative dance",
vaudeville,69,"","vaudeville blues",,,,"musical",
ghazal,68,"",,"pop ghazal",,,,
chanson à texte,67,"",,,,,"chanson française",
drumfunk,67,"",,,,,"drum and bass",
pagode,67,"",,"pagodão","pagode romântico",,"samba",
third stream,67,"",,,,,,"jazz, western classical"
celtic metal,66,"",,,,"celtic","folk metal",
trap metal,66,"",,,,,"trap",
appalachian folk,66,"",,,,,"folk",
danzón,65,"danzon",,"chachachá, mambo, tamborera",,"habanera",,
moombahcore,65,"",,,,"brostep, complextro","edm",
jumpstyle,65,"",,,,,"edm",
utopian virtual,64,"",,,,"easy listening, hypnagogic pop, new age, smooth jazz, synth-pop","vaporwave",
truck driving country,64,"truck-driving country",,,,"bakersfield sound, country rock, honky tonk","country",
cape jazz,63,"",,,,,"jazz",
cocktail nation,63,"",,,,"exotica, lounge, swing revival","easy listening",
dissonant death metal,63,"",,,,,"technical death metal",
candombe,61,"","candombe beat",,,,,
biguine,61,"beguine, bigin",,"tumbélé, zouk",,,,"bélé, polka"
comedy hip hop,61,"comedy hip-hop, comedy hiphop, comedy rap",,,,"comedy","hip hop",
bongo flava,60,"bongoflava",,"singeli",,"muziki wa dansi, taarab","hip hop",
modern creative,60,"",,,,"free improvisation, free jazz, modern classical","jazz",
son cubano,60,"","bolero son, boogaloo","charanga, congolese rumba, rhumba, rumba flamenca, salsa, songo, timba","son montuno",,,
gagaku,59,"雅楽",,,,,"japanese classical",
french electro,59,"",,,,"electroclash","electro house",
post-britpop,59,"",,,,"britpop, indie rock","alternative rock",
andalusian classical,58,"andalusi classical, música andalusí",,,,,"classical",
rawstyle,57,"",,"uptempo hardcore","rawphoric","gabber, industrial hardcore","hardstyle",
riddim dubstep,56,"",,,"future riddim","dubstep","brostep",
funktronica,56,"",,,,"italo-disco, synth funk","electronic",
latin ballad,56,"",,,,"bolero","ballad",
flashcore,55,"",,,,"idm, speedcore","electronic",
experimental big band,55,"",,,,"avant-garde jazz","big band",
digicore,54,"",,,,"edm, trap","hip hop",
kawaii metal,54,"",,,,"j-pop","metal",
latin disco,54,"",,,,"latin","disco",
barber beats,53,"",,,,"downtempo, instrumental hip hop, trip hop","vaporwave",
manele,52,"",,,,"dance-pop","folk pop",
acid trance,52,"",,"hard trance, psytrance",,"acid house","trance",
sevillanas,52,"",,,,,"folk",
tropicália,52,"tropicalia, tropicalismo",,,,"mpb, psychedelic pop, psychedelic rock, samba-rock",,
algorave,51,"",,,,,"electronic",
future bounce,51,"",,,,,"house","future house, melbourne bounce"
dangdut,51,"",,"qasidah modern","koplo",,,
death 'n' roll,51,"death and roll, death'n'roll, death & roll",,,,"hard rock, heavy metal","death metal",
hardwave,51,"",,,,"hardstyle, trance, trap edm","wave",
vocal surf,50,"surf pop",,,,"pop rock","surf",
zamrock,50,"",,,,,"psychedelic rock",
stenchcore,49,"",,,,"death metal, heavy metal, thrash metal","crust punk",
trance metal,49,"",,,,"trance","metal",
hardstep,48,"",,"techstep",,,"drum and bass",
deep tech,48,"",,,,"speed garage, uk garage","tech house",
mento,47,"",,"reggae, ska",,,,
brutal prog,47,"",,,,"punk","progressive rock",
denpa,46,"",,,,"j-pop, synth-pop","pop",
beat poetry,46,"",,,,,"poetry",
chicano rap,46,"",,,,,"hip hop",
nuevo tango,45,"tango nuevo","electrotango",,,"jazz, western classical","tango",
donk,45,"scouse house",,,,,"hard house",
oratorio,45,"",,,,,"western classical",
hardcore breaks,45,"",,,,"drum and bass, dubstep, footwork","breakbeat hardcore",
indie surf,45,"",,,,"surf rock","indie rock",
onkyo,44,"onkyokei, 音響系",,,,"free improvisation","reductionism",
viking rock,44,"vikingarock",,,,"folk, oi","punk rock",
memphis rap,43,"",,"drift phonk, phonk",,"electro","hardcore hip hop",
afro-jazz,42,"african jazz",,,,,"jazz",
baião,42,"",,"forró",,,,
latin funk,42,"",,,,"latin","funk",
latin soul,42,"",,,,"latin","soul",
fidget house,41,"",,,,"breakbeat hardcore","electro house",
chalga,41,"попфолк, чалга",,,,,,"dance-pop, folk"
peak time techno,40,"peak-time techno",,"future rave",,"acid techno, trance","techno",
art song,40,"",,,"lied, lute song, mélodie, orchestral song, russian romance",,"western classical",
operatic pop,40,"",,,,"opera, western classical","pop",
pop yeh-yeh,40,"",,,,"beat music","rock",
lavani,40,"",,,,,,
trancestep,40,"",,,,"trance","drum and bass",
eai,39,"electroacoustic improvisation",,,,"electroacoustic","free improvisation",
nu skool breaks,39,"nu breaks, nu-skool breaks, nuskool breaks",,"breakstep",,"drum and bass, techno, uk garage","breakbeat",
amapiano,39,"",,,,"deep house, gqom, kwaito","house",
sasscore,38,"",,,,"dance-punk, new wave, post-hardcore","hardcore punk",
gnawa,37,"",,,,,,
organic house,36,"",,,,"afro house, deep house, downtempo, progressive house","house",
mbaqanga,36,"",,"township bubblegum, township jive",,"kwela, swing","marabi",
beatboxing,35,"beatbox",,,,"hip hop",,
binaural beats,35,"",,,,,"sound effects",
mass,34,"",,,"requiem",,"western classical",
kleinkunst,34,"",,,,"chanson française","singer-songwriter",
third wave ska,34,"",,,,"2 tone, punk rock, rock","ska",
banda sinaloense,33,"",,"movimiento alterado, nortec","technobanda",,"regional mexicano",
bleep techno,33,"bleep and bass",,,,,"techno",
latin house,33,"",,,,,"house",
euro-trance,33,"",,"euphoric hardstyle, hands up, lento violento",,"eurodance, hard trance","trance",
mod revival,32,"",,,,"punk rock","mod",
hard drum,32,"",,,,"tribal house, uk funky","edm",
dancefloor drum and bass,32,"dancefloor d&b, dancefloor dnb",,,,,"drum and bass",
atmospheric drum and bass,32,"",,"liquid funk",,"ambient, ambient house","drum and bass",
carnatic classical,32,"carnatic classical music",,,,,"indian classical",
twerk,32,"",,,,"bounce, miami bass","trap edm",
fm synthesis,32,"",,,,,"bit music",
futurism,31,"",,,,,"modern classical",
orchestral jazz,31,"",,,,,"jazz",
samba-canção,31,"samba-cancao",,"mpb",,,"samba",
industrial musical,31,"",,,,,"musical",
medieval metal,30,"medieval folk metal",,,,"neo-medieval folk","folk metal",
trot,29,"트로트",,"korean ballad","pon-chak disco, semi-trot",,,
swancore,29,"",,,,,"post-hardcore",
requiem,29,"",,,,,"mass",
chachachá,29,"cha-cha-cha, chachacha, cha-cha-chá",,,,"danzón",,
darkcore,29,"darkside",,,,,"breakbeat hardcore",
african blues,29,"",,,,,"blues",
beatdown hardcore,28,"",,,,,"hardcore punk",
footwork jungle,28,"",,,,,"edm","drum and bass, footwork"
minneapolis sound,28,"",,,,"contemporary r&b, disco","synth funk",
red dirt,27,"",,,,"outlaw country, southern rock","country",
chimurenga,27,"",,,,,,
bytebeat,27,"",,,,,"bit music",
lambada,27,"",,"brega calypso",,"carimbó, cumbia, forró",,
jug band,26,"",,,,,"acoustic blues",
slam poetry,26,"",,,,,"poetry",
coladeira,26,"koladera",,,,"morna",,
dunedin sound,26,"",,,,,"indie rock",
serialism,25,"serial music",,"sonorism","integral serialism",,"modern classical",
chacarera,25,"",,,,,,
prelude,24,"",,,,,"western classical",
acidcore,24,"",,,,"acid techno","hardcore techno",
griot,24,"griot music",,,,,,
bolero son,24,"",,,,,,"bolero, son cubano"
spectralism,24,"spectral music",,,,,"modern classical",
techno bass,24,"",,,,"electro","miami bass",
v-pop,23,"",,"vinahouse",,,"pop",
chamamé,23,"chamame",,,,"schottische",,
shidaiqu,23,"時代曲",,"mandopop",,"jazz",,
afro rock,23,"afro-rock, afrorock",,,,,"rock",
pasodoble,22,"",,"chotis madrileño",,,,
future core,22,"futurecore",,,,"j-core, kawaii future bass","future bass",
taarab,22,"",,"bongo flava, kidumbak, singeli",,"kidumbak",,
red song,22,"",,,,,,
grebo,22,"",,,,"alternative dance, hip hop, punk rock","alternative rock",
livetronica,22,"jamtronica",,,,"electronic","jam band",
nhạc vàng,22,"",,,,,,
slap house,22,"lithuanian bass",,,,"brazilian bass, future house","house",
funaná,22,"funana",,,,,,
psystyle,21,"",,,,"psytrance","hardstyle",
mazurka,21,"",,,,,,
euphoric hardstyle,21,"",,"rawphoric",,"euro-trance, hands up, melodic trance","hardstyle",
zamba,21,"",,,,"zamacueca",,
hopepunk,21,"",,,,,,
weightless,21,"",,,,"ambient","grime",
crunkcore,20,"",,,,,,"crunk, edm, post-hardcore"
drift phonk,20,"",,,,"memphis rap","electronic",
melbourne bounce,20,"","future bounce",,,"dutch house, minimal techno, tech house","electro house",
carimbó,20,"carimbo",,"brega calypso, lambada",,,,
kaseko,20,"",,,,,,
philly club,20,"",,,,"baltimore club, hardstyle, trap edm","edm",
makossa,20,"",,"ziglibithy",,"highlife, jazz, rumba cubana, soukous",,
nu style gabber,20,"mainstream hardcore, mainstyle, newstyle hardcore",,,,,"gabber",
ytpmv,19,"",,,,,"plunderphonics",
jùjú,19,"juju",,,,,,
expressionism,19,"",,,,,"modern classical",
operetta,19,"",,"kalon'ny fahiny",,,"opera",
ryūkōka,19,"ryukoka, 流行歌",,"enka, kayōkyoku",,"western classical",,
nyū myūjikku,19,"nyu myujikku, ニューミュージック",,,,"contemporary folk, kayōkyoku","pop",
dutch house,19,"",,"jungle dutch, melbourne bounce, moombahton",,,"electro house",
persian pop,19,"",,,,,"pop",
afroswing,18,"",,,,"afrobeats, contemporary r&b, dancehall","hip hop",
chanson réaliste,18,"",,,,,"chanson française",
hill country blues,18,"",,,,,"blues",
black 'n' roll,18,"black and roll, black'n'roll, black & roll",,,,"hard rock, heavy metal","black metal",
flamenco jazz,18,"jazz flamenco",,,,,,"jazz, nuevo flamenco"
alpenrock,18,"",,,,,,
g-house,18,"gangsta house",,,,"hip hop","house",
acid breaks,18,"acid breakbeat",,,,"acid house","breakbeat",
rumba flamenca,17,"",,"flamenco pop, rumba catalana, tecnorumba",,"guaguancó, guaracha, rumba catalana, son cubano","flamenco",
musette,17,"",,,,,,
għana,17,"",,,,,,
singspiel,17,"",,,,"ballad opera, opéra comique","opera",
afro-funk,17,"afro funk, afrofunk",,,,,"funk",
jungle terror,17,"",,"jungle dutch",,"big room house, tribal house","edm",
kirtan,17,"",,,,,,
schottische,16,"",,"chamamé, chotis madrileño, xote",,,"polka",
turbo-folk,16,"",,,,,"folk pop",
jamaican ska,16,"",,,,,"ska",
vaudeville blues,16,"",,,,,,"blues, vaudeville"
son jarocho,16,"",,,,,"regional mexicano",
rautalanka,16,"",,,,"rock and roll, schlager, surf rock","rock",
dhrupad,15,"",,,,,"hindustani classical",
campus folk,15,"校園民歌",,,,,,
nasheed,15,"",,,,,,
slack-key guitar,15,"",,,,,,
brega,15,"",,,"brega calypso, tecnobrega",,,
breakstep,15,"",,,,"breakbeat, nu skool breaks, techstep","uk garage",
crime jazz,15,"",,,,,"jazz",
guided meditation,15,"",,,,,"spoken word",
brega funk,15,"bregafunk, brega funky",,,"batidão romântico",,,"funk carioca, tecnobrega"
digital cumbia,15,"",,,,,,"cumbia argentina, electronic"
semba,15,"",,"kizomba, kuduro",,,,
rock urbano,15,"",,,,"progressive rock","rock",
currulao,15,"",,,,,,
tropical rock,14,"trop rock",,,,"calypso, reggae, rock and roll","pop rock",
salegy,14,"",,,,,,
algerian chaabi,14,"",,,,,,
uk82,14,"",,,,"oi, street punk","hardcore punk",
big room trance,14,"",,,,"big room house, electro house, tech trance","trance",
freeform hardcore,14,"freeform",,,,"hard trance","hardcore techno",
flamenco pop,14,"",,,,"copla, flamenco, rumba flamenca","pop",
samba-rock,14,"samba rock",,"pagode romântico, tropicália","samba soul","rock","samba",
russian chanson,14,"",,,,,"pop",
benga,14,"",,"sungura",,,,
bhajan,14,"",,,,,,
future rave,14,"",,,,"melodic techno, peak time techno, tech house","edm",
plugg,13,"",,,"pluggnb",,"trap",
rumba catalana,13,"catalan rumba",,"rumba flamenca",,"pop, rumba cubana, rumba flamenca",,
frevo,13,"","axé",,,"marchinha, maxixe",,
conga,13,"",,"pachanga",,,,
nitzhonot,13,"",,,,"melodic trance","goa trance",
forró universitário,12,"",,,,"funk, rock","forró",
snap,12,"",,,,,"hip hop",
coco,12,"",,"mangue beat","embolada",,,
zarzuela,12,"",,,,,"western classical",
mor lam,12,"molam",,"phleng phuea chiwit","mor lam sing",,,
epic collage,12,"",,,,"deconstructed club, sound collage","post-industrial",
murga,12,"",,,"murga uruguaya",,"musical",
lied,12,"",,,,"romantic classical","art song",
fairy tale,12,"fairytale, fairy tales, fairytales",,,,,"spoken word",
hamburger schule,12,"",,,,"neue deutsche welle, pop, punk rock","indie rock",
